Orthogroup	gbM	teM	Unmethylated	Unclassified	Missing	Total	percent_gbM	percent_teM	percent_Unmethylated	percent_Unclassified	percent_Missing	cluster
N0.HOG0000107	8	6	39	11	4	68	0.117647058823529	0.0882352941176471	0.573529411764706	0.161764705882353	0.0588235294117647	3
N0.HOG0000108	3	2	34	2	5	46	0.0652173913043478	0.0434782608695652	0.739130434782609	0.0434782608695652	0.108695652173913	3
N0.HOG0000109	7	2	32	8	4	53	0.132075471698113	0.0377358490566038	0.60377358490566	0.150943396226415	0.0754716981132075	3
N0.HOG0000110	4	11	39	4	7	65	0.0615384615384615	0.169230769230769	0.6	0.0615384615384615	0.107692307692308	3
N0.HOG0000113	1	3	37	3	4	48	0.0208333333333333	0.0625	0.770833333333333	0.0625	0.0833333333333333	3
N0.HOG0000117	1	8	37	3	3	52	0.0192307692307692	0.153846153846154	0.711538461538462	0.0576923076923077	0.0576923076923077	3
N0.HOG0000118	7	5	34	7	4	57	0.12280701754386	0.087719298245614	0.596491228070175	0.12280701754386	0.0701754385964912	3
N0.HOG0000119	1	1	32	2	4	40	0.025	0.025	0.8	0.05	0.1	3
N0.HOG0000135	1	3	39	8	4	55	0.0181818181818182	0.0545454545454545	0.709090909090909	0.145454545454545	0.0727272727272727	3
N0.HOG0000137	1	1	37	1	4	44	0.0227272727272727	0.0227272727272727	0.840909090909091	0.0227272727272727	0.0909090909090909	3
N0.HOG0000144	8	8	34	6	5	61	0.131147540983607	0.131147540983607	0.557377049180328	0.0983606557377049	0.0819672131147541	3
N0.HOG0000152	3	10	40	3	2	58	0.0517241379310345	0.172413793103448	0.689655172413793	0.0517241379310345	0.0344827586206897	3
N0.HOG0000153	1	6	36	4	2	49	0.0204081632653061	0.122448979591837	0.73469387755102	0.0816326530612245	0.0408163265306122	3
N0.HOG0000157	10	2	37	4	4	57	0.175438596491228	0.0350877192982456	0.649122807017544	0.0701754385964912	0.0701754385964912	3
N0.HOG0000158	3	8	36	5	10	62	0.0483870967741935	0.129032258064516	0.580645161290323	0.0806451612903226	0.161290322580645	3
N0.HOG0000162	30	24	39	29	17	139	0.215827338129496	0.172661870503597	0.280575539568345	0.20863309352518	0.122302158273381	1
N0.HOG0000211	31	34	37	35	26	163	0.190184049079755	0.208588957055215	0.226993865030675	0.214723926380368	0.159509202453988	1
N0.HOG0000213	35	31	36	32	21	155	0.225806451612903	0.2	0.232258064516129	0.206451612903226	0.135483870967742	1
N0.HOG0000262	1	3	42	2	3	51	0.0196078431372549	0.0588235294117647	0.823529411764706	0.0392156862745098	0.0588235294117647	3
N0.HOG0000266	3	2	34	9	2	50	0.06	0.04	0.68	0.18	0.04	3
N0.HOG0000267	3	1	37	2	2	45	0.0666666666666667	0.0222222222222222	0.822222222222222	0.0444444444444444	0.0444444444444444	3
N0.HOG0000274	0	7	43	3	7	60	0	0.116666666666667	0.716666666666667	0.05	0.116666666666667	3
N0.HOG0000282	8	13	43	12	7	83	0.0963855421686747	0.156626506024096	0.518072289156627	0.144578313253012	0.0843373493975904	3
N0.HOG0000283	1	4	41	2	8	56	0.0178571428571429	0.0714285714285714	0.732142857142857	0.0357142857142857	0.142857142857143	3
N0.HOG0000287	7	8	42	6	8	71	0.0985915492957746	0.112676056338028	0.591549295774648	0.0845070422535211	0.112676056338028	3
N0.HOG0000288	6	1	33	5	2	47	0.127659574468085	0.0212765957446809	0.702127659574468	0.106382978723404	0.0425531914893617	3
N0.HOG0000290	0	5	43	5	7	60	0	0.0833333333333333	0.716666666666667	0.0833333333333333	0.116666666666667	3
N0.HOG0000291	5	8	40	9	8	70	0.0714285714285714	0.114285714285714	0.571428571428571	0.128571428571429	0.114285714285714	3
N0.HOG0000292	9	6	40	14	7	76	0.118421052631579	0.0789473684210526	0.526315789473684	0.184210526315789	0.0921052631578947	3
N0.HOG0000341	33	24	38	26	15	136	0.242647058823529	0.176470588235294	0.279411764705882	0.191176470588235	0.110294117647059	1
N0.HOG0000342	24	9	31	17	9	90	0.266666666666667	0.1	0.344444444444444	0.188888888888889	0.1	1
N0.HOG0000347	35	39	41	43	15	173	0.202312138728324	0.225433526011561	0.236994219653179	0.248554913294798	0.0867052023121387	1
N0.HOG0000354	31	28	40	31	20	150	0.206666666666667	0.186666666666667	0.266666666666667	0.206666666666667	0.133333333333333	1
N0.HOG0000355	9	23	41	24	13	110	0.0818181818181818	0.209090909090909	0.372727272727273	0.218181818181818	0.118181818181818	1
N0.HOG0000411	3	0	34	3	7	47	0.0638297872340425	0	0.723404255319149	0.0638297872340425	0.148936170212766	3
N0.HOG0000434	10	1	26	8	2	47	0.212765957446809	0.0212765957446809	0.553191489361702	0.170212765957447	0.0425531914893617	3
N0.HOG0000435	19	27	35	22	17	120	0.158333333333333	0.225	0.291666666666667	0.183333333333333	0.141666666666667	1
N0.HOG0000448	9	1	31	19	7	67	0.134328358208955	0.0149253731343284	0.462686567164179	0.283582089552239	0.104477611940299	1
N0.HOG0000449	3	0	32	7	3	45	0.0666666666666667	0	0.711111111111111	0.155555555555556	0.0666666666666667	3
